,TimeStamp,Values,Events
0,02/18/2021,7.739999771118164,open
1,02/19/2021,7.590000152587891,open
2,02/22/2021,7.519999980926514,open
3,02/23/2021,7.210000038146973,open
4,02/24/2021,7.369999885559082,open
5,02/25/2021,7.440000057220459,open
6,02/26/2021,7.03000020980835,open
7,03/01/2021,6.920000076293945,open
8,03/02/2021,6.170000076293945,open
9,03/03/2021,6.070000171661377,open
10,03/04/2021,5.849999904632568,open
11,03/05/2021,5.820000171661377,open
12,03/08/2021,6.090000152587891,open
13,03/09/2021,5.920000076293945,open
14,03/10/2021,6.340000152587891,open
15,03/11/2021,6.190000057220459,open
16,03/12/2021,6.289999961853027,open
17,03/15/2021,6.5,open
18,03/16/2021,6.630000114440918,open
19,03/17/2021,6.360000133514404,open
20,02/18/2021,7.550000190734863,close
21,02/19/2021,7.590000152587891,close
22,02/22/2021,7.440000057220459,close
23,02/23/2021,7.230000019073486,close
24,02/24/2021,7.300000190734863,close
25,02/25/2021,6.949999809265137,close
26,02/26/2021,6.739999771118164,close
27,03/01/2021,6.190000057220459,close
28,03/02/2021,6.03000020980835,close
29,03/03/2021,5.829999923706055,close
30,03/04/2021,5.71999979019165,close
31,03/05/2021,5.989999771118164,close
32,03/08/2021,5.789999961853027,close
33,03/09/2021,6.230000019073486,close
34,03/10/2021,6.110000133514404,close
35,03/11/2021,6.409999847412109,close
36,03/12/2021,6.5,close
37,03/15/2021,6.579999923706055,close
38,03/16/2021,6.480000019073486,close
39,03/17/2021,6.659999847412109,close
